id,name,chr,38bp1,38bp2,37bp1,37bp2
"<a id=""TRAPPC5"" href=""#"" onclick=""resClick(this.id)"">TRAPPC5</a>",trafficking protein particle complex 5,19,"","",7745718,7752589
"<a id=""TRAPPC6A"" href=""#"" onclick=""resClick(this.id)"">TRAPPC6A</a>",trafficking protein particle complex 6A,19,"","",45666190,45681495
"<a id=""TRAPPC6B"" href=""#"" onclick=""resClick(this.id)"">TRAPPC6B</a>",trafficking protein particle complex 6B,14,"","",39617017,39639537
"<a id=""TRAPPC8"" href=""#"" onclick=""resClick(this.id)"">TRAPPC8</a>",trafficking protein particle complex 8,18,"","",29409142,29523091
"<a id=""TRAPPC9"" href=""#"" onclick=""resClick(this.id)"">TRAPPC9</a>",trafficking protein particle complex 9,8,"","",140739967,141468678
"<a id=""TRARG1"" href=""#"" onclick=""resClick(this.id)"">TRARG1</a>",trafficking regulator of GLUT4 (SLC2A4) 1,17,"","",1182955,1204272
"<a id=""TRAT1"" href=""#"" onclick=""resClick(this.id)"">TRAT1</a>",T cell receptor associated transmembrane adaptor 1,3,"","",108541632,108573852
"<a id=""TRDMT1"" href=""#"" onclick=""resClick(this.id)"">TRDMT1</a>",tRNA aspartic acid methyltransferase 1,10,"","",17179334,17243671
"<a id=""TRDN"" href=""#"" onclick=""resClick(this.id)"">TRDN</a>",triadin,6,"","",123537483,123958095
"<a id=""TREH"" href=""#"" onclick=""resClick(this.id)"">TREH</a>",trehalase,11,"","",118528025,118550359
"<a id=""TREM1"" href=""#"" onclick=""resClick(this.id)"">TREM1</a>",triggering receptor expressed on myeloid cells 1,6,"","",41235122,41254483
"<a id=""TREM2"" href=""#"" onclick=""resClick(this.id)"">TREM2</a>",triggering receptor expressed on myeloid cells 2,6,"","",41126243,41130924
"<a id=""TREML1"" href=""#"" onclick=""resClick(this.id)"">TREML1</a>",triggering receptor expressed on myeloid cells like 1,6,"","",41116998,41122087
"<a id=""TREML2"" href=""#"" onclick=""resClick(this.id)"">TREML2</a>",triggering receptor expressed on myeloid cells like 2,6,"","",41157486,41168887
"<a id=""TREML4"" href=""#"" onclick=""resClick(this.id)"">TREML4</a>",triggering receptor expressed on myeloid cells like 4,6,"","",41196086,41206620
"<a id=""TRERF1"" href=""#"" onclick=""resClick(this.id)"">TRERF1</a>",transcriptional regulating factor 1,6,"","",42192668,42419962
"<a id=""TREX1"" href=""#"" onclick=""resClick(this.id)"">TREX1</a>",three prime repair exonuclease 1,3,"","",48507228,48509044
"<a id=""TRG-AS1"" href=""#"" onclick=""resClick(this.id)"">TRG-AS1</a>",T cell receptor gamma locus antisense RNA 1,7,"","",38381177,38418238
"<a id=""TRH"" href=""#"" onclick=""resClick(this.id)"">TRH</a>",thyrotropin releasing hormone,3,"","",129693562,129696778
"<a id=""TRHDE"" href=""#"" onclick=""resClick(this.id)"">TRHDE</a>",thyrotropin releasing hormone degrading enzyme,12,"","",72666528,73059422
"<a id=""TRHR"" href=""#"" onclick=""resClick(this.id)"">TRHR</a>",thyrotropin releasing hormone receptor,8,"","",110098856,110133794
"<a id=""TRIAP1"" href=""#"" onclick=""resClick(this.id)"">TRIAP1</a>",TP53 regulated inhibitor of apoptosis 1,12,"","",120881766,120884187
"<a id=""TRIB1"" href=""#"" onclick=""resClick(this.id)"">TRIB1</a>",tribbles pseudokinase 1,8,"","",126442599,126450644
"<a id=""TRIB2"" href=""#"" onclick=""resClick(this.id)"">TRIB2</a>",tribbles pseudokinase 2,2,"","",12856997,12882858
"<a id=""TRIB3"" href=""#"" onclick=""resClick(this.id)"">TRIB3</a>",tribbles pseudokinase 3,20,"","",361272,378203
"<a id=""TRIL"" href=""#"" onclick=""resClick(this.id)"">TRIL</a>",TLR4 interactor with leucine rich repeats,7,"","",28992973,28997946
"<a id=""TRIM11"" href=""#"" onclick=""resClick(this.id)"">TRIM11</a>",tripartite motif containing 11,1,"","",228581376,228594536
"<a id=""TRIM13"" href=""#"" onclick=""resClick(this.id)"">TRIM13</a>",tripartite motif containing 13,13,"","",50571177,50592603
"<a id=""TRIM14"" href=""#"" onclick=""resClick(this.id)"">TRIM14</a>",tripartite motif containing 14,9,"","",100846634,100881504
"<a id=""TRIM16"" href=""#"" onclick=""resClick(this.id)"">TRIM16</a>",tripartite motif containing 16,17,"","",15531279,15587625
"<a id=""TRIM16L"" href=""#"" onclick=""resClick(this.id)"">TRIM16L</a>",tripartite motif containing 16 like,17,"","",18601310,18639425
"<a id=""TRIM17"" href=""#"" onclick=""resClick(this.id)"">TRIM17</a>",tripartite motif containing 17,1,"","",228595635,228604583
"<a id=""TRIM2"" href=""#"" onclick=""resClick(this.id)"">TRIM2</a>",tripartite motif containing 2,4,"","",154073485,154260469
"<a id=""TRIM21"" href=""#"" onclick=""resClick(this.id)"">TRIM21</a>",tripartite motif containing 21,11,"","",4406126,4414932
"<a id=""TRIM22"" href=""#"" onclick=""resClick(this.id)"">TRIM22</a>",tripartite motif containing 22,11,"","",5711019,5732093
"<a id=""TRIM23"" href=""#"" onclick=""resClick(this.id)"">TRIM23</a>",tripartite motif containing 23,5,"","",64885516,64920160
"<a id=""TRIM24"" href=""#"" onclick=""resClick(this.id)"">TRIM24</a>",tripartite motif containing 24,7,"","",138145003,138274741
"<a id=""TRIM25"" href=""#"" onclick=""resClick(this.id)"">TRIM25</a>",tripartite motif containing 25,17,"","",54965269,54991410
"<a id=""TRIM28"" href=""#"" onclick=""resClick(this.id)"">TRIM28</a>",tripartite motif containing 28,19,"","",59055430,59062082
"<a id=""TRIM29"" href=""#"" onclick=""resClick(this.id)"">TRIM29</a>",tripartite motif containing 29,11,"","",119981993,120008821
"<a id=""TRIM3"" href=""#"" onclick=""resClick(this.id)"">TRIM3</a>",tripartite motif containing 3,11,"","",6469842,6495689
"<a id=""TRIM32"" href=""#"" onclick=""resClick(this.id)"">TRIM32</a>",tripartite motif containing 32,9,"","",119449580,119463579
"<a id=""TRIM33"" href=""#"" onclick=""resClick(this.id)"">TRIM33</a>",tripartite motif containing 33,1,"","",114935414,115053824
"<a id=""TRIM34"" href=""#"" onclick=""resClick(this.id)"">TRIM34</a>",tripartite motif containing 34,11,"","",5641173,5665625
"<a id=""TRIM35"" href=""#"" onclick=""resClick(this.id)"">TRIM35</a>",tripartite motif containing 35,8,"","",27142402,27168789
"<a id=""TRIM36"" href=""#"" onclick=""resClick(this.id)"">TRIM36</a>",tripartite motif containing 36,5,"","",114460472,114515991
"<a id=""TRIM37"" href=""#"" onclick=""resClick(this.id)"">TRIM37</a>",tripartite motif containing 37,17,"","",57060009,57184241
"<a id=""TRIM38"" href=""#"" onclick=""resClick(this.id)"">TRIM38</a>",tripartite motif containing 38,6,"","",25963029,25991457
"<a id=""TRIM4"" href=""#"" onclick=""resClick(this.id)"">TRIM4</a>",tripartite motif containing 4,7,"","",99488025,99517153
"<a id=""TRIM41"" href=""#"" onclick=""resClick(this.id)"">TRIM41</a>",tripartite motif containing 41,5,"","",180650262,180662808
"<a id=""TRIM42"" href=""#"" onclick=""resClick(this.id)"">TRIM42</a>",tripartite motif containing 42,3,"","",140396905,140419992
"<a id=""TRIM43"" href=""#"" onclick=""resClick(this.id)"">TRIM43</a>",tripartite motif containing 43,2,"","",96257748,96265524
"<a id=""TRIM44"" href=""#"" onclick=""resClick(this.id)"">TRIM44</a>",tripartite motif containing 44,11,"","",35684322,35839557
"<a id=""TRIM45"" href=""#"" onclick=""resClick(this.id)"">TRIM45</a>",tripartite motif containing 45,1,"","",117653681,117664371
"<a id=""TRIM46"" href=""#"" onclick=""resClick(this.id)"">TRIM46</a>",tripartite motif containing 46,1,"","",155146262,155157447
"<a id=""TRIM47"" href=""#"" onclick=""resClick(this.id)"">TRIM47</a>",tripartite motif containing 47,17,"","",73870244,73874662
"<a id=""TRIM48"" href=""#"" onclick=""resClick(this.id)"">TRIM48</a>",tripartite motif containing 48,11,"","",55029630,55038588
"<a id=""TRIM49"" href=""#"" onclick=""resClick(this.id)"">TRIM49</a>",tripartite motif containing 49,11,"","",89530822,89541743
"<a id=""TRIM5"" href=""#"" onclick=""resClick(this.id)"">TRIM5</a>",tripartite motif containing 5,11,"","",5684424,5706304
"<a id=""TRIM50"" href=""#"" onclick=""resClick(this.id)"">TRIM50</a>",tripartite motif containing 50,7,"","",72726531,72742085
"<a id=""TRIM51"" href=""#"" onclick=""resClick(this.id)"">TRIM51</a>",tripartite motif-containing 51,11,"","",55650772,55659284
"<a id=""TRIM52"" href=""#"" onclick=""resClick(this.id)"">TRIM52</a>",tripartite motif containing 52,5,"","",180682146,180688144
"<a id=""TRIM54"" href=""#"" onclick=""resClick(this.id)"">TRIM54</a>",tripartite motif containing 54,2,"","",27505296,27530303
"<a id=""TRIM55"" href=""#"" onclick=""resClick(this.id)"">TRIM55</a>",tripartite motif containing 55,8,"","",67039363,67087718
"<a id=""TRIM56"" href=""#"" onclick=""resClick(this.id)"">TRIM56</a>",tripartite motif containing 56,7,"","",100728761,100741248
"<a id=""TRIM58"" href=""#"" onclick=""resClick(this.id)"">TRIM58</a>",tripartite motif containing 58,1,"","",248020488,248043438
"<a id=""TRIM59"" href=""#"" onclick=""resClick(this.id)"">TRIM59</a>",tripartite motif containing 59,3,"","",160153290,160167574
"<a id=""TRIM6"" href=""#"" onclick=""resClick(this.id)"">TRIM6</a>",tripartite motif containing 6,11,"","",5617340,5634182
"<a id=""TRIM6-TRIM34"" href=""#"" onclick=""resClick(this.id)"">TRIM6-TRIM34</a>",TRIM6-TRIM34 readthrough,11,"","",5617866,5665625
"<a id=""TRIM60"" href=""#"" onclick=""resClick(this.id)"">TRIM60</a>",tripartite motif containing 60,4,"","",165953150,165962901
"<a id=""TRIM61"" href=""#"" onclick=""resClick(this.id)"">TRIM61</a>",tripartite motif containing 61,4,"","",165875597,165898809
"<a id=""TRIM62"" href=""#"" onclick=""resClick(this.id)"">TRIM62</a>",tripartite motif containing 62,1,"","",33610999,33647644
"<a id=""TRIM63"" href=""#"" onclick=""resClick(this.id)"">TRIM63</a>",tripartite motif containing 63,1,"","",26377795,26394125
"<a id=""TRIM65"" href=""#"" onclick=""resClick(this.id)"">TRIM65</a>",tripartite motif containing 65,17,"","",73885043,73893032
"<a id=""TRIM67"" href=""#"" onclick=""resClick(this.id)"">TRIM67</a>",tripartite motif containing 67,1,"","",231298673,231357310
"<a id=""TRIM68"" href=""#"" onclick=""resClick(this.id)"">TRIM68</a>",tripartite motif containing 68,11,"","",4619901,4629461
"<a id=""TRIM69"" href=""#"" onclick=""resClick(this.id)"">TRIM69</a>",tripartite motif containing 69,15,"","",45028725,45060025
"<a id=""TRIM7"" href=""#"" onclick=""resClick(this.id)"">TRIM7</a>",tripartite motif containing 7,5,"","",180620923,180632196
"<a id=""TRIM71"" href=""#"" onclick=""resClick(this.id)"">TRIM71</a>",tripartite motif containing 71,3,"","",32859488,32939316
"<a id=""TRIM72"" href=""#"" onclick=""resClick(this.id)"">TRIM72</a>",tripartite motif containing 72,16,"","",31225439,31242858
"<a id=""TRIM74"" href=""#"" onclick=""resClick(this.id)"">TRIM74</a>",tripartite motif containing 74,7,"","",72430015,72439997
"<a id=""TRIM77"" href=""#"" onclick=""resClick(this.id)"">TRIM77</a>",tripartite motif containing 77,11,"","",89443466,89451040
"<a id=""TRIM8"" href=""#"" onclick=""resClick(this.id)"">TRIM8</a>",tripartite motif containing 8,10,"","",104404251,104418076
"<a id=""TRIM9"" href=""#"" onclick=""resClick(this.id)"">TRIM9</a>",tripartite motif containing 9,14,"","",51441980,51562422
"<a id=""TRIML1"" href=""#"" onclick=""resClick(this.id)"">TRIML1</a>",tripartite motif family like 1,4,"","",189060594,189068894
"<a id=""TRIML2"" href=""#"" onclick=""resClick(this.id)"">TRIML2</a>",tripartite motif family like 2,4,"","",189012425,189030757
"<a id=""TRIO"" href=""#"" onclick=""resClick(this.id)"">TRIO</a>",trio Rho guanine nucleotide exchange factor,5,"","",14143450,14510313
"<a id=""TRIOBP"" href=""#"" onclick=""resClick(this.id)"">TRIOBP</a>",TRIO and F-actin binding protein,22,"","",38093054,38172563
"<a id=""TRIP10"" href=""#"" onclick=""resClick(this.id)"">TRIP10</a>",thyroid hormone receptor interactor 10,19,"","",6739690,6751541
"<a id=""TRIP11"" href=""#"" onclick=""resClick(this.id)"">TRIP11</a>",thyroid hormone receptor interactor 11,14,"","",92432334,92506403
"<a id=""TRIP12"" href=""#"" onclick=""resClick(this.id)"">TRIP12</a>",thyroid hormone receptor interactor 12,2,"","",230628552,230786725
"<a id=""TRIP13"" href=""#"" onclick=""resClick(this.id)"">TRIP13</a>",thyroid hormone receptor interactor 13,5,"","",892998,918235
"<a id=""TRIP4"" href=""#"" onclick=""resClick(this.id)"">TRIP4</a>",thyroid hormone receptor interactor 4,15,"","",64680002,64747502
"<a id=""TRIP6"" href=""#"" onclick=""resClick(this.id)"">TRIP6</a>",thyroid hormone receptor interactor 6,7,"","",100465008,100471076
"<a id=""TRIR"" href=""#"" onclick=""resClick(this.id)"">TRIR</a>",telomerase RNA component interacting RNase,19,"","",12841453,12845498
"<a id=""TRIT1"" href=""#"" onclick=""resClick(this.id)"">TRIT1</a>",tRNA isopentenyltransferase 1,1,"","",40303781,40349176
"<a id=""TRMO"" href=""#"" onclick=""resClick(this.id)"">TRMO</a>",tRNA methyltransferase O,9,"","",100666770,100684852
"<a id=""TRMT1"" href=""#"" onclick=""resClick(this.id)"">TRMT1</a>",tRNA methyltransferase 1,19,"","",13215713,13227585
"<a id=""TRMT10A"" href=""#"" onclick=""resClick(this.id)"">TRMT10A</a>",tRNA methyltransferase 10A,4,"","",100467867,100485196
"<a id=""TRMT10B"" href=""#"" onclick=""resClick(this.id)"">TRMT10B</a>",tRNA methyltransferase 10B,9,"","",37753799,37778969
"<a id=""TRMT10C"" href=""#"" onclick=""resClick(this.id)"">TRMT10C</a>","tRNA methyltransferase 10C, mitochondrial RNase P subunit",3,"","",101280711,101285290
"<a id=""TRMT11"" href=""#"" onclick=""resClick(this.id)"">TRMT11</a>",tRNA methyltransferase 11 homolog,6,"","",126307575,126400864
"<a id=""TRMT112"" href=""#"" onclick=""resClick(this.id)"">TRMT112</a>",tRNA methyltransferase subunit 11-2,11,"","",64083963,64085556
"<a id=""TRMT12"" href=""#"" onclick=""resClick(this.id)"">TRMT12</a>",tRNA methyltransferase 12 homolog,8,"","",125463060,125465266
"<a id=""TRMT13"" href=""#"" onclick=""resClick(this.id)"">TRMT13</a>",tRNA methyltransferase 13 homolog,1,"","",100598705,100616054
"<a id=""TRMT1L"" href=""#"" onclick=""resClick(this.id)"">TRMT1L</a>",tRNA methyltransferase 1 like,1,"","",185087217,185126230
"<a id=""TRMT2A"" href=""#"" onclick=""resClick(this.id)"">TRMT2A</a>",tRNA methyltransferase 2 homolog A,22,"","",20099397,20104749
"<a id=""TRMT44"" href=""#"" onclick=""resClick(this.id)"">TRMT44</a>",tRNA methyltransferase 44 homolog,4,"","",8442503,8478282
"<a id=""TRMT5"" href=""#"" onclick=""resClick(this.id)"">TRMT5</a>",tRNA methyltransferase 5,14,"","",61438166,61448408
"<a id=""TRMT6"" href=""#"" onclick=""resClick(this.id)"">TRMT6</a>",tRNA methyltransferase 6,20,"","",5917873,5931179
"<a id=""TRMT61A"" href=""#"" onclick=""resClick(this.id)"">TRMT61A</a>",tRNA methyltransferase 61A,14,"","",103995532,104003410
"<a id=""TRMT61B"" href=""#"" onclick=""resClick(this.id)"">TRMT61B</a>",tRNA methyltransferase 61B,2,"","",29072687,29093175
"<a id=""TRMT9B"" href=""#"" onclick=""resClick(this.id)"">TRMT9B</a>",tRNA methyltransferase 9B (putative),8,"","",12803181,12887284
"<a id=""TRMU"" href=""#"" onclick=""resClick(this.id)"">TRMU</a>",tRNA 5-methylaminomethyl-2-thiouridylate methyltransferase,22,"","",46731297,46753237
"<a id=""TRNAU1AP"" href=""#"" onclick=""resClick(this.id)"">TRNAU1AP</a>",tRNA selenocysteine 1 associated protein 1,1,"","",28879528,28905057
"<a id=""TRNP1"" href=""#"" onclick=""resClick(this.id)"">TRNP1</a>",TMF1 regulated nuclear protein 1,1,"","",27320182,27327377
"<a id=""TRNT1"" href=""#"" onclick=""resClick(this.id)"">TRNT1</a>",tRNA nucleotidyl transferase 1,3,"","",3168623,3195119
"<a id=""TROAP"" href=""#"" onclick=""resClick(this.id)"">TROAP</a>",trophinin associated protein,12,"","",49717037,49725514
"<a id=""TRPA1"" href=""#"" onclick=""resClick(this.id)"">TRPA1</a>",transient receptor potential cation channel subfamily A member 1,8,"","",72933484,72987819
"<a id=""TRPC1"" href=""#"" onclick=""resClick(this.id)"">TRPC1</a>",transient receptor potential cation channel subfamily C member 1,3,"","",142442875,142526729
"<a id=""TRPC3"" href=""#"" onclick=""resClick(this.id)"">TRPC3</a>",transient receptor potential cation channel subfamily C member 3,4,"","",122795635,122873215
"<a id=""TRPC4"" href=""#"" onclick=""resClick(this.id)"">TRPC4</a>",transient receptor potential cation channel subfamily C member 4,13,"","",38206199,38444562
"<a id=""TRPC4AP"" href=""#"" onclick=""resClick(this.id)"">TRPC4AP</a>",transient receptor potential cation channel subfamily C member 4 associated protein,20,"","",33590206,33680618
"<a id=""TRPC6"" href=""#"" onclick=""resClick(this.id)"">TRPC6</a>",transient receptor potential cation channel subfamily C member 6,11,"","",101322294,101454738
"<a id=""TRPC7"" href=""#"" onclick=""resClick(this.id)"">TRPC7</a>",transient receptor potential cation channel subfamily C member 7,5,"","",135548998,135701164
"<a id=""TRPM1"" href=""#"" onclick=""resClick(this.id)"">TRPM1</a>",transient receptor potential cation channel subfamily M member 1,15,"","",31293263,31453476
"<a id=""TRPM2"" href=""#"" onclick=""resClick(this.id)"">TRPM2</a>",transient receptor potential cation channel subfamily M member 2,21,"","",45773483,45862964
"<a id=""TRPM3"" href=""#"" onclick=""resClick(this.id)"">TRPM3</a>",transient receptor potential cation channel subfamily M member 3,9,"","",73143975,74061887
"<a id=""TRPM4"" href=""#"" onclick=""resClick(this.id)"">TRPM4</a>",transient receptor potential cation channel subfamily M member 4,19,"","",49661048,49715093
"<a id=""TRPM5"" href=""#"" onclick=""resClick(this.id)"">TRPM5</a>",transient receptor potential cation channel subfamily M member 5,11,"","",2425745,2444275
"<a id=""TRPM6"" href=""#"" onclick=""resClick(this.id)"">TRPM6</a>",transient receptor potential cation channel subfamily M member 6,9,"","",77337410,77502837
"<a id=""TRPM7"" href=""#"" onclick=""resClick(this.id)"">TRPM7</a>",transient receptor potential cation channel subfamily M member 7,15,"","",50849355,50979012
"<a id=""TRPM8"" href=""#"" onclick=""resClick(this.id)"">TRPM8</a>",transient receptor potential cation channel subfamily M member 8,2,"","",234826017,234928166
"<a id=""TRPS1"" href=""#"" onclick=""resClick(this.id)"">TRPS1</a>",transcriptional repressor GATA binding 1,8,"","",116420723,116681202
"<a id=""TRPT1"" href=""#"" onclick=""resClick(this.id)"">TRPT1</a>",tRNA phosphotransferase 1,11,"","",63991270,63993726
"<a id=""TRPV1"" href=""#"" onclick=""resClick(this.id)"">TRPV1</a>",transient receptor potential cation channel subfamily V member 1,17,"","",3468739,3512705
"<a id=""TRPV2"" href=""#"" onclick=""resClick(this.id)"">TRPV2</a>",transient receptor potential cation channel subfamily V member 2,17,"","",16318884,16340317
"<a id=""TRPV3"" href=""#"" onclick=""resClick(this.id)"">TRPV3</a>",transient receptor potential cation channel subfamily V member 3,17,"","",3413795,3461106
"<a id=""TRPV4"" href=""#"" onclick=""resClick(this.id)"">TRPV4</a>",transient receptor potential cation channel subfamily V member 4,12,"","",110220891,110271212
"<a id=""TRPV5"" href=""#"" onclick=""resClick(this.id)"">TRPV5</a>",transient receptor potential cation channel subfamily V member 5,7,"","",142605266,142630843
"<a id=""TRPV6"" href=""#"" onclick=""resClick(this.id)"">TRPV6</a>",transient receptor potential cation channel subfamily V member 6,7,"","",142568960,142583490
"<a id=""TRRAP"" href=""#"" onclick=""resClick(this.id)"">TRRAP</a>",transformation/transcription domain associated protein,7,"","",98476112,98610866
"<a id=""TRUB1"" href=""#"" onclick=""resClick(this.id)"">TRUB1</a>",TruB pseudouridine synthase family member 1,10,"","",116697953,116737435
"<a id=""TRUB2"" href=""#"" onclick=""resClick(this.id)"">TRUB2</a>",TruB pseudouridine synthase family member 2,9,"","",131067437,131084726
"<a id=""TRY2P"" href=""#"" onclick=""resClick(this.id)"">TRY2P</a>",,7,"","",141968100,141972068
"<a id=""TSACC"" href=""#"" onclick=""resClick(this.id)"">TSACC</a>",TSSK6 activating cochaperone,1,"","",156307104,156316785
"<a id=""TSC1"" href=""#"" onclick=""resClick(this.id)"">TSC1</a>",TSC complex subunit 1,9,"","",135766734,135820020
"<a id=""TSC2"" href=""#"" onclick=""resClick(this.id)"">TSC2</a>",TSC complex subunit 2,16,"","",2097985,2139491
"<a id=""TSC22D1"" href=""#"" onclick=""resClick(this.id)"">TSC22D1</a>",TSC22 domain family member 1,13,"","",45006278,45150701
"<a id=""TSC22D2"" href=""#"" onclick=""resClick(this.id)"">TSC22D2</a>",TSC22 domain family member 2,3,"","",150126084,150184207
"<a id=""TSC22D4"" href=""#"" onclick=""resClick(this.id)"">TSC22D4</a>",TSC22 domain family member 4,7,"","",100064141,100076902
"<a id=""TSEN15"" href=""#"" onclick=""resClick(this.id)"">TSEN15</a>",tRNA splicing endonuclease subunit 15,1,"","",184020863,184066619
"<a id=""TSEN2"" href=""#"" onclick=""resClick(this.id)"">TSEN2</a>",tRNA splicing endonuclease subunit 2,3,"","",12525930,12581123
"<a id=""TSEN34"" href=""#"" onclick=""resClick(this.id)"">TSEN34</a>",tRNA splicing endonuclease subunit 34,19,"","",54694118,54698394
"<a id=""TSEN54"" href=""#"" onclick=""resClick(this.id)"">TSEN54</a>",tRNA splicing endonuclease subunit 54,17,"","",73512608,73520816
"<a id=""TSFM"" href=""#"" onclick=""resClick(this.id)"">TSFM</a>","Ts translation elongation factor, mitochondrial",12,"","",58176527,58196639
"<a id=""TSG101"" href=""#"" onclick=""resClick(this.id)"">TSG101</a>",tumor susceptibility 101,11,"","",18501857,18548489
"<a id=""TSGA10"" href=""#"" onclick=""resClick(this.id)"">TSGA10</a>",testis specific 10,2,"","",99613723,99771405
"<a id=""TSGA10IP"" href=""#"" onclick=""resClick(this.id)"">TSGA10IP</a>",testis specific 10 interacting protein,11,"","",65713114,65727434
"<a id=""TSGA13"" href=""#"" onclick=""resClick(this.id)"">TSGA13</a>",testis specific 13,7,"","",130353485,130372268
"<a id=""TSHB"" href=""#"" onclick=""resClick(this.id)"">TSHB</a>",thyroid stimulating hormone subunit beta,1,"","",115572444,115576930
"<a id=""TSHR"" href=""#"" onclick=""resClick(this.id)"">TSHR</a>",thyroid stimulating hormone receptor,14,"","",81421868,81612646
"<a id=""TSHZ1"" href=""#"" onclick=""resClick(this.id)"">TSHZ1</a>",teashirt zinc finger homeobox 1,18,"","",72922751,73001899
"<a id=""TSHZ2"" href=""#"" onclick=""resClick(this.id)"">TSHZ2</a>",teashirt zinc finger homeobox 2,20,"","",51588896,52111869
"<a id=""TSHZ3"" href=""#"" onclick=""resClick(this.id)"">TSHZ3</a>",teashirt zinc finger homeobox 3,19,"","",31640775,31840431
"<a id=""TSKS"" href=""#"" onclick=""resClick(this.id)"">TSKS</a>",testis specific serine kinase substrate,19,"","",50243016,50266563
"<a id=""TSKU"" href=""#"" onclick=""resClick(this.id)"">TSKU</a>","tsukushi, small leucine rich proteoglycan",11,"","",76493356,76509198
"<a id=""TSLP"" href=""#"" onclick=""resClick(this.id)"">TSLP</a>",thymic stromal lymphopoietin,5,"","",110405777,110413722
"<a id=""TSN"" href=""#"" onclick=""resClick(this.id)"">TSN</a>",translin,2,"","",122513120,122525428
"<a id=""TSNARE1"" href=""#"" onclick=""resClick(this.id)"">TSNARE1</a>",t-SNARE domain containing 1,8,"","",143293440,143484543
"<a id=""TSNAX"" href=""#"" onclick=""resClick(this.id)"">TSNAX</a>",translin associated factor X,1,"","",231664414,231702269
"<a id=""TSNAXIP1"" href=""#"" onclick=""resClick(this.id)"">TSNAXIP1</a>",translin associated factor X interacting protein 1,16,"","",67840791,67861971
"<a id=""TSPAN1"" href=""#"" onclick=""resClick(this.id)"">TSPAN1</a>",tetraspanin 1,1,"","",46640758,46651634
"<a id=""TSPAN10"" href=""#"" onclick=""resClick(this.id)"">TSPAN10</a>",tetraspanin 10,17,"","",79604196,79615785
"<a id=""TSPAN11"" href=""#"" onclick=""resClick(this.id)"">TSPAN11</a>",tetraspanin 11,12,"","",31079681,31149534
"<a id=""TSPAN12"" href=""#"" onclick=""resClick(this.id)"">TSPAN12</a>",tetraspanin 12,7,"","",120427373,120498198
"<a id=""TSPAN13"" href=""#"" onclick=""resClick(this.id)"">TSPAN13</a>",tetraspanin 13,7,"","",16793379,16824161
"<a id=""TSPAN14"" href=""#"" onclick=""resClick(this.id)"">TSPAN14</a>",tetraspanin 14,10,"","",82214065,82292880
"<a id=""TSPAN15"" href=""#"" onclick=""resClick(this.id)"">TSPAN15</a>",tetraspanin 15,10,"","",71211222,71267425
"<a id=""TSPAN16"" href=""#"" onclick=""resClick(this.id)"">TSPAN16</a>",tetraspanin 16,19,"","",11406835,11437672
"<a id=""TSPAN17"" href=""#"" onclick=""resClick(this.id)"">TSPAN17</a>",tetraspanin 17,5,"","",176074484,176086052
"<a id=""TSPAN18"" href=""#"" onclick=""resClick(this.id)"">TSPAN18</a>",tetraspanin 18,11,"","",44748511,44953974
"<a id=""TSPAN19"" href=""#"" onclick=""resClick(this.id)"">TSPAN19</a>",tetraspanin 19,12,"","",85408095,85430055
"<a id=""TSPAN2"" href=""#"" onclick=""resClick(this.id)"">TSPAN2</a>",tetraspanin 2,1,"","",115590632,115632124
"<a id=""TSPAN3"" href=""#"" onclick=""resClick(this.id)"">TSPAN3</a>",tetraspanin 3,15,"","",77333744,77363451
"<a id=""TSPAN31"" href=""#"" onclick=""resClick(this.id)"">TSPAN31</a>",tetraspanin 31,12,"","",58138821,58144002
"<a id=""TSPAN32"" href=""#"" onclick=""resClick(this.id)"">TSPAN32</a>",tetraspanin 32,11,"","",2323242,2339430
"<a id=""TSPAN33"" href=""#"" onclick=""resClick(this.id)"">TSPAN33</a>",tetraspanin 33,7,"","",128784711,128809537
"<a id=""TSPAN4"" href=""#"" onclick=""resClick(this.id)"">TSPAN4</a>",tetraspanin 4,11,"","",842823,867116
"<a id=""TSPAN5"" href=""#"" onclick=""resClick(this.id)"">TSPAN5</a>",tetraspanin 5,4,"","",99391517,99579762
"<a id=""TSPAN8"" href=""#"" onclick=""resClick(this.id)"">TSPAN8</a>",tetraspanin 8,12,"","",71518875,71551779
"<a id=""TSPAN9"" href=""#"" onclick=""resClick(this.id)"">TSPAN9</a>",tetraspanin 9,12,"","",3186520,3395730
"<a id=""TSPEAR"" href=""#"" onclick=""resClick(this.id)"">TSPEAR</a>",thrombospondin type laminin G domain and EAR repeats,21,"","",45917775,46131487
"<a id=""TSPEAR-AS1"" href=""#"" onclick=""resClick(this.id)"">TSPEAR-AS1</a>",TSPEAR antisense RNA 1,21,"","",45925926,45936458
"<a id=""TSPO"" href=""#"" onclick=""resClick(this.id)"">TSPO</a>",translocator protein,22,"","",43547564,43559248
"<a id=""TSPO2"" href=""#"" onclick=""resClick(this.id)"">TSPO2</a>",translocator protein 2,6,"","",41010205,41012076
"<a id=""TSPOAP1"" href=""#"" onclick=""resClick(this.id)"">TSPOAP1</a>",TSPO associated protein 1,17,"","",56378591,56406156
"<a id=""TSPYL1"" href=""#"" onclick=""resClick(this.id)"">TSPYL1</a>",TSPY like 1,6,"","",116596021,116601280
"<a id=""TSPYL4"" href=""#"" onclick=""resClick(this.id)"">TSPYL4</a>",TSPY like 4,6,"","",116571130,116575238
